event_v_event	3'UTR.ADH1B	3'UTR.FGA	3'UTR.PPP1R12B	3'UTR.SEC14L2	3'UTR.SERPINA1	WGD	coding.ACVR2A	coding.ALB	coding.ARID1A	coding.ARID2	coding.AXIN1	coding.BRD7	coding.CTNNB1	coding.FGA	coding.HNF1A	coding.JAK1	coding.KEAP1	coding.PRDM11	coding.PTEN	coding.RB1	coding.RPS6KA3	coding.TP53	coding.TSC1	coding.TSC2	gain_17q	gain_19q	gain_1q	gain_20q	gain_22q	gain_5p	gain_6p	gain_7p	gain_7q	gain_8q	lncrna.G035338	lncrna.NEAT1	lncrna.Z95704.4	lncrna.prom.G085970	lncrna.prom.RP11-1151B14.3	lncrna.prom.Z95704.4	loss_13q	loss_16p	loss_16q	loss_17p	loss_19p	loss_4q	loss_6q	loss_8p	loss_9p	loss_9q	promoter.ALB	promoter.KCNJ12	promoter.KHNYN	promoter.TERT	promoter.ZNF595
gain_7q	2.16792173728,4.51527990547,8.31679835725	0.679640029263,4.14472846535,6.17563150539	2.09433264598,4.75522037386,6.15044698015	3.72066373303,3.17462125941,5.10471500756	1.54404289455,2.60617115424,1.84978595121	18.3629103358,15.5714871361,14.0656025281	1.48890211904,2.9597556418,4.55134223915	6.67697637424,7.9685314608,20.354492165	3.89618786905,5.95734766696,7.14646446399	2.36503729427,6.94149362501,6.69346908072	1.35808003848,8.78438090462,11.8575390569	4.73919813782,3.09425305937,3.16654880281	11.4465328486,18.1065323441,24.4469348073	2.40661098899,2.78906711499,5.80432189602	0.803708971004,1.66660762217,3.52968340683	2.91412904286,4.73537620553,5.3504947516	1.65107941188,1.95771116921,5.39120941891	2.78719084839,2.56899150541,3.6438176462	0.500010012928,2.3660520045,2.13393798257	4.14087364845,4.81774980437,5.04137654718	0.303472827924,0.651500226511,1.04502694557	13.7063450567,35.979619329,47.3140356144	0.467592581,1.14055724782,2.39185017118	3.9915842235,3.2665947207,4.74182105579	21.5596350732,18.8414590941,57.5989058327	15.7939312745,16.7169335828,58.4891351427	25.9133643113,39.967861531,70.1187741577	19.7315536818,25.9308409957,55.3376053224	19.0330113423,16.6927510105,55.2742376471	20.5597299496,20.7532502721,56.6870197783	19.432486625,20.3447819085,57.2227314665	14.9532518795,12.4462720485,100.600476072	na	29.5361378672,20.3715851483,49.0922769844	5.73550534022,3.65586228001,7.60863237977	23.6450916833,17.9274161191,27.4274921976	1.70199336621,5.96199575552,0.336010878268	1.24636504284,1.61523187283,2.13840308433	2.97484993478,1.26848404534,1.75666601988	0.0,8.94585353522,0.054146464778	20.9463828885,10.3536300046,35.6999871069	14.1972950701,10.4021611445,33.4005437854	25.9317394903,10.4186404904,45.6496200193	35.1511330209,17.3905064719,62.4583605071	11.6159749375,12.4155211028,29.9685039597	28.3280941735,12.6786207636,52.9932850629	10.236671678,12.4470012884,31.3163270336	31.3201637665,20.8801123009,56.7997239326	24.1728239684,13.3122490281,42.5149270035	12.7847673337,9.96384912701,22.2513835393	6.34873895686,0.992300422737,4.6589606204	2.45714741237,6.89166424049,4.65118834713	3.22464915189,0.843895669223,2.93145517889	5.11686857826,12.3594016419,9.52372977982	0.0,24.7089677565,0.29103224347
gain_7p	0.155383621963,4.37762908411,6.46698729393	0.558236136135,3.90095618278,7.54080768109	0.0793094760635,5.07430632513,4.84638419881	2.667340549,1.19010986497,4.14254958602	1.37919902211,2.591698436,3.02910254189	21.8018220702,17.2526397447,15.9455381851	0.395848288243,1.8902330105,3.71391870126	6.4346355155,8.84986222107,15.7155022634	3.26048342854,6.32480219872,6.41471437274	2.92477014886,4.71577535629,7.35945449484	2.13692729731,6.79893017105,11.0641425316	2.77742832377,4.36080302271,2.86176865353	8.51853646803,17.1751532938,25.3063102382	2.32494641348,2.95273652067,4.72231706585	1.35337150085,1.6129048325,1.03372366665	2.80519436661,3.639682369,3.5551232644	2.99149502333,1.68823246108,4.32027251559	1.62787424633,2.1496088843,2.22251686937	0.530478328407,3.8236721177,2.64584955389	2.77267132305,3.84977122119,2.37755745576	0.990465406908,0.538288173411,0.471246419681	7.97250384911,32.667202772,47.3602933789	0.0842044907611,2.37248844692,3.54330706232	3.72004544176,2.85800366678,2.42195089147	16.9190740187,17.7582920186,62.3226339628	14.7752492593,16.749931027,61.4748197137	21.8130267607,34.8600412125,67.3269320267	14.5471222359,23.6750165302,60.7778612338	20.7568313958,16.0090511399,62.2341174643	21.9553101182,18.6579701315,58.3867197503	18.9535091688,22.605172269,57.4413185621	na	14.9532518795,12.4462720485,100.600476072	32.7606342746,13.3955780738,57.8437876515	6.92672227363,3.19119875365,7.88207897272	21.6817535045,14.9815879154,26.3366585801	1.65872875774,5.59377362168,0.74749762058	1.26033381753,0.273493472595,1.46617270987	2.54142693717,0.0604587409827,1.39811432185	0.0,8.9207688035,0.079231196499	17.6534930963,10.5594333039,41.7870735998	15.7063275234,9.14422543383,41.1494470427	25.3119483316,11.0257411126,54.6623105558	33.1232670509,15.3686513588,62.5080815903	6.70422154463,8.59541958565,35.7003588697	30.4471288787,12.1377282938,49.4151428276	9.6323505142,10.3935077682,34.9741417176	31.1558925278,15.668647391,59.1754600812	19.3303633464,10.5357322444,44.1339044091	12.8658017332,12.3509215545,31.7832767123	5.34126135631,0.736238461412,6.92250018228	4.15548516058,5.87597237868,4.96854246073	2.8360751526,0.14848249069,2.01544235671	7.70739551572,10.8423806238,8.45022386043	0.95927696286,23.2576552026,0.7830678345
gain_6p	1.67683472387,5.60015344313,7.72301183301	1.49840066909,4.31656783629,5.18503149461	0.395454695018,7.1799193647,5.42462594028	2.96785151951,1.40967633011,6.62247215038	1.50548654473,2.45965946365,3.03485399162	24.8817996933,19.9637208265,15.1544794802	1.13299414121e-09,0.0,1.99999999887	3.92261222572,10.0169844178,11.0604033565	4.04645965649,3.68419471136,8.26934563215	1.27210385727,4.83173348018,9.89616266255	0.257750003714,5.44234146294,8.29990853334	2.00423630507,1.78133056501,3.21443312992	13.0718576591,13.242893524,27.6852488168	1.0879099352,2.01319312705,4.89889693775	0.990099009901,1.39928668738,1.61061430272	1.03321152823,5.71947119157,5.24731728019	2.55408573861,3.96104235251,2.48487190889	1.40163559505,0.279958002339,2.31840640261	4.89429047628e-09,1.43356529629,1.56643469882	3.85448448174,1.50081425322,5.64470126504	1.79200181841,1.7432639152,2.46473426639	13.2533570482,34.0364905193,49.7101524325	1.23270108434,1.10423516783,2.66306374783	3.02984220649,2.00452701304,5.96563078047	24.9559955327,14.7091300775,59.3348743899	15.486646141,15.2749586877,61.2383951713	16.8969690941,35.400555186,80.7024757199	16.4727633423,18.5693701681,60.9578664896	25.1940796821,10.2813673724,57.5245529455	17.5167332584,17.9264252073,64.5568415343	na	18.9535091688,22.605172269,57.4413185621	19.432486625,20.3447819085,57.2227314665	30.7636873517,16.819616678,67.4166959703	6.74457341405,3.7442030408,11.5112235451	22.984133333,14.3993212514,29.6165454156	0.0,8.57113151413,0.428868485868	1.50739708911,1.08075206092,2.41185084996	2.36597006117,0.105313005521,4.52871693331	0.0,11.7910904506,1.20890954935	19.9119701189,11.0664881214,43.0215417597	14.5121182553,9.90920884337,36.5786729013	19.7471070303,11.2479317355,59.0049612343	33.9754872313,15.4812684914,72.5432442772	12.4413628377,9.0333164921,39.5253206702	28.3276453679,12.7352930848,56.9370615473	15.906056577,12.7274501455,49.3664932775	34.5713196752,17.5555188888,64.8731614361	22.0933051857,13.4651137565,50.4415810578	10.0091692616,13.3663439896,42.6244867488	3.93135249024,0.373300588015,7.69534692174	1.71407096559,6.64349067446,2.64243835995	1.32443100307,0.0,2.67556899693	3.84795336512,18.8295976639,8.32244897102	0.0,23.1321693079,2.86783069211
gain_5p	1.5595944556,4.89120092681,5.54920461759	1.97747381191,2.94240716578,5.0801190223	0.752589496006,5.1771047567,4.0703057473	2.57186378886,1.15141199882,5.27672421232	2.16803065656,2.08870431036,4.74326503309	20.6796672418,20.9803083249,16.3400244333	1.21089573064,2.35143372643,2.43767054293	5.54581616891,12.4537048838,12.0004789472	3.19120038953,5.85566966462,8.95312994585	1.36291022049,3.77157087891,5.8655189006	1.53802619061,8.32821406948,8.13375973991	2.46641689391,2.58525637031,3.94832673578	7.74827224375,11.286052713,21.9656750432	1.53783615765,4.07537793805,3.3867859043	0.0977319681023,1.29554387964,1.60672415226	2.20333386397,2.69537120978,4.10129492625	0.507214708645,4.09437363204,3.39841165931	1.11260980248,2.39331450311,4.49407569441	0.0,1.28740277002,2.71259722998	1.96401363918,3.52986868083,8.50611767999	0.804187055846,1.60529470227,2.59051824189	6.88318382805,34.2887162527,46.8280999192	0.876216251047,2.46398275435,3.6598009946	4.23147983444,3.45300046973,2.31551969583	16.9320003855,17.9815617269,62.0864378875	12.6681665348,20.7600573361,62.5717761291	21.9637338249,35.59190204,66.4443641351	15.027214941,25.1183272438,66.8544578153	17.9843512159,14.9158056542,62.0998431299	na	17.5167332584,17.9264252073,64.5568415343	21.9553101182,18.6579701315,58.3867197503	20.5597299496,20.7532502721,56.6870197783	29.9298444236,10.9443953491,71.1257602273	6.5791679473,2.48214423051,6.93868782219	23.7209116361,9.74145281464,28.5376355493	0.0,4.69172370792,0.308276292081	2.12744474018,0.220754523991,1.65180073583	2.55892602051,0.228333085093,1.21274089439	0.931706649197,10.6320812603,0.436212090472	19.782274767,8.94908080404,47.268644429	18.9705751572,6.51615423376,41.5132706091	29.9261691596,11.1207687403,55.9530621001	35.9816159126,10.5561774713,69.4622066161	16.4868599913,11.354760103,39.1583799057	29.5962894442,9.58567259508,56.8180379607	10.7440241008,7.88755224552,42.3684236537	28.3644098785,10.2797009731,66.3558891484	20.0233302487,6.14145813858,51.8352116127	12.2573376774,7.35388385757,41.388778465	2.05895468763,0.245812403497,5.69523290888	4.21901541718,4.83135753482,3.949627048	3.82617584765,0.0609538408685,2.11287031148	5.55745186205,6.90147938356,6.54106875439	0.95927696286,20.4434576092,0.597265427897
gain_22q	0.683673748046,6.44483739633,4.87148885562	1.01108840133,1.95577387384,6.03313772483	1.20857749137,4.20503459901,3.58638790962	2.06427440876,3.09874414216,3.83698144908	1.52900705598,2.0437524254,2.42724051863	8.89215190894,26.1543022091,16.953545882	0.560134935076,0.0,1.43986506492	7.71523664713,4.80390785493,14.4808554979	3.6150479638,4.60592138027,4.77903065593	2.29797149486,3.26060779316,4.44142071198	2.89951953318,5.41239661832,9.68808384849	2.54638610103,1.74248886379,5.71112503518	7.22405582784,11.5062416448,19.2697025273	1.16268388074,2.1592165584,2.67809956086	0.0934919274917,2.54970573165,1.35680234086	2.35384568627,2.787850979,2.85830333472	0.483724576953,1.79710795285,1.7191674702	1.70719652018,0.934881671046,2.35792180877	0.0,0.6254976913,2.3745023087	4.74744603186,2.54564862936,4.70690533877	0.516736139668,0.297257450817,1.18600640952	8.38379612367,40.7789056615,48.8372982148	0.874840532784,1.32662142814,3.79853803907	2.71018953458,3.03691045793,4.25290000749	15.7134202876,23.1945477947,73.0920319177	10.3776243363,22.0070701789,75.6153054848	18.3892979206,36.1446999152,60.4660021642	13.0055486959,28.4166819561,74.577769348	na	17.9843512159,14.9158056542,62.0998431299	25.1940796821,10.2813673724,57.5245529455	20.7568313958,16.0090511399,62.2341174643	19.0330113423,16.6927510105,55.2742376471	34.4526879322,13.8964694588,54.650842609	7.59498796061,4.05885493177,7.34615710762	21.2241659518,10.5415394544,29.2342945938	0.611166044972,5.96570047243,0.423133482596	0.843449271311,0.00128565385105,1.15526507484	0.145982025611,0.323323461434,1.53069451296	0.515131304915,7.99657604043,0.488292654659	21.5098491401,8.89016754297,42.5999833169	15.9069056535,9.6765891234,41.4165052231	31.6090463569,10.4590425447,54.9319110984	36.1506946545,9.65567491813,65.1936304274	15.3670534674,6.14017272747,33.4927738051	34.3838147926,10.7286522159,56.8875329915	11.9023838346,8.51231761187,37.5852985536	29.9509935532,11.6738720368,60.37513441	21.8699426443,8.14352192476,52.9865354309	10.9726062202,9.38576264905,39.6416311307	2.62194563112,0.624294587084,3.7537597818	2.51824613875,5.52994568286,2.95180817839	3.41306638297,0.235038864979,3.35189475205	4.77757274434,12.1354808196,4.08694643604	0.95927696286,16.4686564342,0.572066602914
gain_20q	1.98510943967,4.38530261077,7.62958794957	0.689979722163,4.38026503869,3.92975523915	0.512941785931,1.848197235,5.63886097907	3.77771459443,1.40051573761,4.82176966796	2.35240498574,3.02644308662,2.62115192764	25.7884492063,22.8103863011,13.4011644926	0.348451651395,2.0560704863,1.5954778623	8.21632466474,7.25234578783,17.5313295474	4.55667892773,4.41084449802,9.03247657426	2.2649600888,3.24835425851,6.48668565269	2.70106420511,5.87224481789,13.426690977	2.26815215459,3.69294903578,3.03889880963	10.9107206277,9.00401919403,24.0852601783	2.09841381987,4.23220929642,4.66937688371	1.85489517439,1.86736375471,3.2777410709	2.80148885229,2.27868068656,4.91983046115	0.549053416133,3.19089472503,3.26005185883	1.6699391586,2.11479724243,4.21526359897	0.362451326606,1.44712818353,1.19042048987	3.39522224602,3.88549982411,5.71927792987	1.0,0.942682086435,1.05731791356	10.9164690632,36.2830077692,58.8005231676	1.23150994146,0.209068131359,4.55942192718	3.67481742679,2.85865930901,3.4665232642	26.1580294031,9.91325539878,75.9287151981	21.1930055142,16.76227054,70.0447239458	25.9797336361,32.7395914164,73.2806749474	na	13.0055486959,28.4166819561,74.577769348	15.027214941,25.1183272438,66.8544578153	16.4727633423,18.5693701681,60.9578664896	14.5471222359,23.6750165302,60.7778612338	19.7315536818,25.9308409957,55.3376053224	30.7865195699,20.8601096912,69.3533707389	6.39114431865,3.16889826967,9.43995741168	19.3001230492,16.2680949054,35.4317820454	0.0,7.92459525411,0.0754047458866	3.52722182326,0.402717116057,4.07006106068	1.81231183851,0.401908244717,4.78577991677	1.32615926688,8.91831325667,0.755527476449	17.7288594411,10.3612928785,56.9098476805	13.2354231626,9.50260012808,53.2619767093	22.340850345,10.1626921092,69.4964575458	30.0512858911,12.7079902632,83.2407238458	13.3563835698,10.0808373251,40.5627791051	28.2703143545,15.2349226633,70.4947629822	7.41281035444,13.1731625559,40.4140270897	27.4358672991,11.4047469311,75.1593857699	23.3053708239,11.2523993094,57.4422298666	12.4538051949,11.4568565882,46.0893382169	1.69756876845,1.08684009872,7.21559113283	3.86501778521,4.1818477014,4.95313451339	1.1945437283,0.60502692887,6.20042934283	5.75804926579,15.4162907006,9.82566003362	0.0,26.050485035,1.94951496496
gain_1q	2.89490265234,5.76870046624,14.3363968814	2.54203844672,5.94804904969,5.50991250358	2.38211013843,6.96947385202,12.6484160096	7.06083455912,1.6073965649,8.33176887598	2.51913257199,3.36170667083,7.11916075718	48.4383187238,23.8137956431,17.7478856331	1.98870956406,2.08764239934,3.9236480366	8.13069934496,14.2593222395,28.6099784155	9.0585834107,5.69144818647,14.2499684028	3.71390869058,5.1650211118,11.1210701976	8.65683681262,8.02302634839,22.320136839	5.97744920328,6.41829396889,6.60425682783	14.6837200101,17.2262764754,40.0900035145	2.09825392567,3.66990423452,9.23184183981	1.48466752277,5.60256008628,4.91277239094	2.05831873233,6.90968861461,8.03199265306	5.40071004258,7.606056647,5.99323331041	1.799144359,2.45245969707,5.74839594393	1.6620676251,3.43733795806,3.90059441684	6.10034379067,6.35276544172,12.5468907676	4.41427043269,2.97613787579,6.60959169152	19.7647039131,51.6402856268,82.5950104601	2.21606758468,4.83661690076,6.94731551456	4.33871255531,7.36199130263,6.29929614207	34.8096014803,22.3796060875,64.8107924321	35.199654424,25.8481539664,56.9521916096	na	25.9797336361,32.7395914164,73.2806749474	18.3892979206,36.1446999152,60.4660021642	21.9637338249,35.59190204,66.4443641351	16.8969690941,35.400555186,80.7024757199	21.8130267607,34.8600412125,67.3269320267	25.9133643113,39.967861531,70.1187741577	41.5575442244,31.1926018121,98.2498539635	5.01694231461,2.57714396691,14.4059137185	31.408566374,24.3633870581,57.2280465679	1.74406643299,9.8819727169,0.373960850109	3.22572300151,2.21675133406,6.55752566443	3.75209137043,1.69611911384,10.5517895157	0.305072196436,15.901686164,1.79324163951	32.3060892961,17.1789851285,78.5149255754	30.4034905262,20.3364203158,71.2600891579	41.0037973202,24.6525600696,114.34364261	51.2503991732,21.0066760504,115.742924776	25.6205554268,17.3693845186,55.0100600546	44.2083607309,26.3127603169,118.478878952	19.6585563266,21.8464408422,59.4950028312	49.994823188,32.9591207982,113.046056014	36.9521528746,24.36451512,74.6833320054	18.7357620549,22.3536662604,54.9105716847	5.44126171171,1.80583093998,8.75290734832	2.37449644884,14.6424493963,7.98305415488	2.49543765494,0.311618543028,8.19294380203	12.4377247253,27.5178539967,18.044421278	0.0,37.1870469665,2.81295303354
gain_19q	1.15952738855,2.77117774918,7.06929486226	1.67792324584,2.91683628573,5.40524046843	1.71688711214,2.92240684449,3.36070604336	1.30978967164,0.744930089613,3.94528023875	1.40209198084,0.0,1.59790801916	19.7300022193,22.0051650553,15.2648327255	0.137253891163,1.63336618875,2.22937992009	4.64073264821,8.74129495562,12.6179723962	2.43673610301,6.13467850594,5.42858539105	1.91005415654,2.92048868981,7.16945715365	0.517520141764,7.25389371485,12.2285861434	1.73562597431,2.04561862837,2.21875539731	7.45157224737,9.59971203705,14.9487157156	1.72070484104,2.13471951129,3.14457564767	0.0,1.35707195626,1.64292804374	2.71689079493,2.88376001069,3.39934919438	0.0233358340349,1.12978464983,2.84687951613	2.17912597125,2.10572592298,1.71514810578	0.40209198572,1.26305112754,2.33485688674	4.23695293354,1.74542753253,6.01761953393	1.38210569346,0.797669853631,0.820224452909	11.5167733808,30.1575959217,49.3256306976	1.37050945181,2.90536252174,3.72412802645	3.71701707784,2.01052108855,5.27246183361	20.4791923133,17.4850155621,61.0357921246	na	35.199654424,25.8481539664,56.9521916096	21.1930055142,16.76227054,70.0447239458	10.3776243363,22.0070701789,75.6153054848	12.6681665348,20.7600573361,62.5717761291	15.486646141,15.2749586877,61.2383951713	14.7752492593,16.749931027,61.4748197137	15.7939312745,16.7169335828,58.4891351427	26.9691894912,17.484857014,60.5459534948	6.81234501477,6.00361163788,9.18404334735	15.2417942521,11.2839931938,27.474212554	0.630216472979,6.98981979748,0.379963729538	0.329470730101,0.13725389003,1.53327537987	1.54621318794,0.66874701738,1.78503979468	0.0,6.11092713144,0.889072868557	20.9771937732,10.7878220405,47.2349841863	14.2633247045,13.1485616366,40.5881136589	22.5371478203,13.5728802148,49.8899719649	26.3340245639,13.590154185,62.0758212511	14.9149732347,11.4287193299,42.6563074354	31.9604937605,15.643914956,60.3955912835	8.99474644431,12.4699660629,37.5352874928	25.8417172499,15.7520202522,62.4062624979	17.6889322267,14.1350465971,51.1760211761	10.34299118,13.9796917158,40.6773171042	1.45943318638,0.301983812393,5.23858300122	2.84013114174,6.92021810762,5.23965075065	2.28337621271,0.00990099009901,1.70672279719	5.35756414383,11.2247472824,5.41768857381	0.0,20.7666221785,1.23337782152
gain_17q	1.65630040603,4.63863643316,6.70506316081	0.827620828409,4.26667263125,2.90570654034	0.357149584318,6.61301386526,7.02983655042	3.36495246127,1.25132301946,4.38372451926	1.48219014746,2.68720565908,2.83060419345	14.480330809,21.4709157683,15.0487534227	1.14637600914,0.554562309614,1.29906168124	5.49295096422,10.6595288281,14.8475202077	3.37795858123,5.63800107886,5.9840403399	2.30985832125,4.61481220413,6.07532947462	1.55178553183,4.82726378712,7.62095068105	2.09352189331,1.94319742217,1.96328068452	7.74798391859,14.0837012396,21.1683148419	1.02715579143,5.01028376272,0.962560445849	0.512429070008,1.37254323121,2.11502769878	3.32910389963,3.00051250916,5.67038359121	3.5028374896,1.95845761523,2.53870489516	1.6827099426,0.454284373388,4.86300568401	1.97094641968,0.854162274514,2.1748913058	4.6108189752,1.31204507233,5.07713595247	0.438958894132,1.14660402412,1.41443708174	10.5484850817,36.073982272,45.3775326463	0.0385446645168,0.624830115133,3.33662522035	5.27232854661,4.60345628344,6.12421516995	na	20.4791923133,17.4850155621,61.0357921246	34.8096014803,22.3796060875,64.8107924321	26.1580294031,9.91325539878,75.9287151981	15.7134202876,23.1945477947,73.0920319177	16.9320003855,17.9815617269,62.0864378875	24.9559955327,14.7091300775,59.3348743899	16.9190740187,17.7582920186,62.3226339628	21.5596350732,18.8414590941,57.5989058327	33.5627960385,23.8351846173,52.6020193442	4.92791760678,2.76269410552,7.3093882877	23.1507928552,12.259248758,34.5899583868	0.506322773306,6.89199487746,0.601682349238	0.905212675943,1.25921402369,2.83557330037	2.5891491004,0.329114544354,3.08173635525	0.0,9.02859197807,1.97140802193	18.5000417796,9.19535638069,42.3046018397	14.2804120304,7.099533878,37.6200540916	21.7405681034,9.66221337736,52.5972185193	35.4726861776,11.2541689263,71.2731448961	12.7195976013,9.13981293785,36.1405894609	28.0878919808,11.476495736,53.4356122831	13.9903695875,10.3101610822,34.6994693303	25.7021853995,10.4981954507,59.7996191499	22.0419386687,10.8856836138,43.0723777176	12.3906002331,10.7146198068,28.8947799601	3.90209019462,0.472341984345,4.62556782104	2.28786952693,6.04740234991,4.66472812316	1.73281141959,0.0993223540868,4.16786622632	6.17384146793,13.9484735212,6.87768501082	0.95927696286,23.3438619137,0.696861123463
coding.TSC2	0.0,0.110678689211,2.88932131079	0.0,0.0847023317686,3.91529766823	0.0498176344633,0.990099188192,2.96008317734	0.196932189401,0.0,2.8030678106	0.0,0.990178128445,1.00982187156	5.5725394938,2.07364207685,0.353818429358	0.0,0.0,2.0	0.0297864146966,0.990099009901,2.9801145754	0.990099009901,0.0,3.0099009901	0.0,0.0194563320273,1.98054366797	0.0,4.31989208052e-05,4.99995680108	0.110536087197,0.297546129935,1.59191778287	0.0,1.9801980198,0.019801980198	0,0,1	0.0,0.990099009901,1.0099009901	0,0,1	1.00377632154,0.0,3.99622367846	0.0,1.9801980198,1.0198019802	0.0,0.999935531296,1.0000644687	0.0,8.44474352331e-05,3.99991555256	0,0,1	1.85092324453,4.50711328181,17.6419634737	0.0,0.990099009901,1.0099009901	na	5.27232854661,4.60345628344,6.12421516995	3.71701707784,2.01052108855,5.27246183361	4.33871255531,7.36199130263,6.29929614207	3.67481742679,2.85865930901,3.4665232642	2.71018953458,3.03691045793,4.25290000749	4.23147983444,3.45300046973,2.31551969583	3.02984220649,2.00452701304,5.96563078047	3.72004544176,2.85800366678,2.42195089147	3.9915842235,3.2665947207,4.74182105579	4.60440149285,4.52170351873,9.87389498842	0.0661950820801,0.990099009901,0.943705908019	3.17075604089,1.64144915038,12.1877948087	0,0,1	0.990099009901,0.0,2.0099009901	0,0,1	0.0,0.0,2.0	0.0100983408187,0.21819259068,12.7717090685	2.98039537052,0.826476641827,12.1931279877	3.96050181531,1.9695306104,14.0699675743	4.94442550783,0.826476641827,16.2290978503	1.97431504786,2.79987201391,7.22581293823	1.99029636062,0.21819259068,13.7915110487	1.98020258392,1.94763405192,7.07216336417	2.97082229812,0.826476641827,12.20270106	1.99029636062,1.21810257312,12.7916010663	1.98063783822,0.999909982436,7.01945217934	0.0,0.0,2.0	0.0,1.9801980198,1.0198019802	0,0,1	1.34488147492,2.38041380477,6.27470472031	0.0,1.02960531986,3.97039468014
coding.TSC1	0.0,0.0,2.0	0,0,1	1.75207071074e-16,0.129547574281,2.87045242572	0.990099009901,0.0,1.0099009901	0.0517636935632,0.0,1.94823630644	1.96752507872,0.818879820938,1.21359510034	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.32645488045,1.67354511955	0.97562731854,0.03115756056,2.9932151209	0,0,1	0,0,1	0.0,0.0,2.0	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0,2.0	0,0,1	1.03602815253,2.18263327877,9.7813385687	na	0.0,0.990099009901,1.0099009901	0.0385446645168,0.624830115133,3.33662522035	1.37050945181,2.90536252174,3.72412802645	2.21606758468,4.83661690076,6.94731551456	1.23150994146,0.209068131359,4.55942192718	0.874840532784,1.32662142814,3.79853803907	0.876216251047,2.46398275435,3.6598009946	1.23270108434,1.10423516783,2.66306374783	0.0842044907611,2.37248844692,3.54330706232	0.467592581,1.14055724782,2.39185017118	1.93622294765,2.80694820617,5.25682884619	0.0,0.121276955754,3.87872304425	0.0,0.126828342413,8.87317165759	0.0,0.990099009901,1.0099009901	0.0,0.0,3.0	0,0,1	0,0,1	3.07368963816e-06,0.0,4.99999692631	0.990099009901,0.983659724605,2.02624126549	0.990102083591,0.0,7.00989791641	0.990102085113,0.0384110578346,11.9714868571	3.07368963816e-06,0.0,5.99999692631	0.990102083591,1.00656194713,7.00333596927	3.07368963816e-06,0.0,5.99999692631	0.990099011423,0.0229022225295,7.98699876605	3.07368963816e-06,0.0384110578346,9.96158586848	3.07521179267e-06,0.0229022225295,10.9770947023	0.0,4.36057576222e-05,1.99995639424	0.0,1.9801980198,0.019801980198	0.0,0.0,2.0	0.0,1.9801980198,0.019801980198	0.0,2.99009899827,1.00990100173
coding.TP53	1.446356969,1.00993065782,13.5437123732	1.07234380847,1.07649754697,10.8511586446	0.411512058166,1.99009918819,10.5983887536	1.61414150814,0.166959728939,10.2188987629	1.26490994305,0.0148732333361,5.72021682362	63.2380435239,3.9176586745,7.84429780156	2.9702970297,0.345571137487,2.68413183281	6.01913584695,4.09502330955,27.8858408435	2.33365815839,2.33505158527,17.3312902563	1.63010177174,1.37659561818,11.9933026101	1.99075278282,2.95311919009,22.0561280271	2.17252927661,0.848794204336,11.9786765191	11.2742413467,2.39975759468,28.3260010586	1.40471178484,0.00780528873515,9.58748292642	0.0,1.9801980198,5.0198019802	0.985975810761,0.248399378748,8.76562481049	4.46253974238,1.94355668882,11.5939035688	1.83101898945,3.17007776006e-06,5.16897784047	2.07309026554,1.31286923307,6.61404050139	0.284118559932,2.1042043294,16.6116771107	0.992640649788,0.089775415905,2.91758393431	na	1.03602815253,2.18263327877,9.7813385687	1.85092324453,4.50711328181,17.6419634737	10.5484850817,36.073982272,45.3775326463	11.5167733808,30.1575959217,49.3256306976	19.7647039131,51.6402856268,82.5950104601	10.9164690632,36.2830077692,58.8005231676	8.38379612367,40.7789056615,48.8372982148	6.88318382805,34.2887162527,46.8280999192	13.2533570482,34.0364905193,49.7101524325	7.97250384911,32.667202772,47.3602933789	13.7063450567,35.979619329,47.3140356144	17.2598655569,30.3514061858,78.3887282573	1.80846131716,4.1356164203,22.0559222625	5.60162165955,13.6563238063,74.7420545342	0.990099009901,14.8790463934,2.1308545967	0.0,0.993300559847,8.00669944015	0.172243586423,0.360146301358,11.4676101122	0.0,12.1732097147,1.82679028533	11.7924055168,14.9034276459,91.3041668373	7.70265169298,11.2909400224,73.0064082846	13.4962001299,15.3866862427,119.117113627	15.9940336395,10.5589202117,154.447046149	10.9835829595,16.4797098154,75.5367072251	11.4886710477,14.798175501,145.713153451	2.52701024018,19.6172928594,52.8556969005	13.7988902127,14.7826904906,120.418419297	11.8849248145,14.1076804166,120.007394769	6.00883853412,18.1806027473,68.8105587186	1.03291390156,0.26293925141,8.70414684703	0.0,12.4035855997,5.59641440033	0.014873443935,0.0353561879191,10.9497703681	1.65214153619,16.7169083512,19.6309501126	0.0,30.8464366934,2.15356330656
